name,time_limit,energy,solver
1899802599_50_10,150.0,26075.99999999996,CQM Solver
2013025619_50_10,150.0,26062.00000000004,CQM Solver
578962478_50_10,150.0,27545.000000000007,CQM Solver
1958948863_50_10,150.0,26560.99999999999,CQM Solver
575633267_50_10,150.0,48206.000000000015,CQM Solver
655816003_50_10,150.0,48627.00000000007,CQM Solver
1977864101_50_10,150.0,27137.999999999967,CQM Solver
93805469_50_10,150.0,51307.99999999999,CQM Solver
1803345551_50_10,150.0,26455.999999999884,CQM Solver
479340445_20_20,150.0,2552.0,CQM Solver
268827376_20_20,150.0,2412.00000000002,CQM Solver
1958948863_20_20,150.0,2530.000000000021,CQM Solver
918272953_20_20,150.0,2519.000000000005,CQM Solver
555010963_20_20,150.0,2559.0,CQM Solver
2010851491_20_20,150.0,2492.0,CQM Solver
1519833303_20_20,150.0,2471.0,CQM Solver
1748670931_20_20,150.0,2455.0,CQM Solver
1923497586_20_20,150.0,2522.0,CQM Solver
1829909967_20_20,150.0,2451.000000000001,CQM Solver
587595453_20_10,150.0,1784.0,CQM Solver
1401007982_20_10,150.0,1842.0,CQM Solver
873136276_20_10,150.0,1667.0,CQM Solver
268827376_20_10,150.0,1578.0,CQM Solver
1634173168_20_10,150.0,1623.0,CQM Solver
691823909_20_10,150.0,1558.0,CQM Solver
73807235_20_10,150.0,1657.0,CQM Solver
1273398721_20_10,150.0,1691.0,CQM Solver
2065119309_20_10,150.0,1746.0,CQM Solver
1672900551_20_10,150.0,1775.0,CQM Solver
873654221_20_5,150.0,1325.0,CQM Solver
379008056_20_5,150.0,1382.999999999998,CQM Solver
1866992158_20_5,150.0,1185.0,CQM Solver
216771124_20_5,150.0,1400.0,CQM Solver
495070989_20_5,150.0,1316.0,CQM Solver
402959317_20_5,150.0,1285.0,CQM Solver
1369363414_20_5,150.0,1280.0,CQM Solver
2021925980_20_5,150.0,1273.0,CQM Solver
573109518_20_5,150.0,1299.0,CQM Solver
88325120_20_5,150.0,1199.0,CQM Solver
496319842_50_5,150.0,2990.999999999988,CQM Solver
1203030903_50_5,150.0,3322.9999999999786,CQM Solver
1303135678_50_5,150.0,3153.9999999999845,CQM Solver
1273398721_50_5,150.0,12553.99999999999,CQM Solver
587288402_50_5,150.0,11892.0,CQM Solver
248421594_50_5,150.0,3146.999999999988,CQM Solver
1328042058_50_5,50.0,12357.0,CQM Solver
1539989115_50_20,300.0,105039.0,CQM Solver
1958948863_50_10,300.0,26513.00000000001,CQM Solver
1328042058_50_5,300.0,3051.999999999988,CQM Solver
691823909_50_20,300.0,99918.0,CQM Solver
575633267_50_10,300.0,25770.000000000007,CQM Solver
200382020_50_5,300.0,3219.999999999988,CQM Solver
655816003_50_20,300.0,98262.0,CQM Solver
655816003_50_10,300.0,25703.0,CQM Solver
496319842_50_5,300.0,2943.0000000000027,CQM Solver
1203030903_50_5,50.0,13031.999999999987,CQM Solver
1203030903_50_5,300.0,3241.9999999999964,CQM Solver
450926852_50_5,50.0,13420.999999999993,CQM Solver
450926852_50_5,300.0,13209.999999999944,CQM Solver
873654221_20_5,50.0,1332.0,CQM Solver
873654221_20_5,300.0,1308.000000000001,CQM Solver
379008056_20_5,50.0,1383.0,CQM Solver
379008056_20_5,300.0,1383.0,CQM Solver
1866992158_20_5,50.0,1176.0,CQM Solver
1866992158_20_5,300.0,1175.0,CQM Solver
216771124_20_5,50.0,1413.0,CQM Solver
216771124_20_5,300.0,1401.0,CQM Solver
1977864101_50_10,300.0,26368.0,CQM Solver
93805469_50_10,300.0,27222.999999999825,CQM Solver
1803345551_50_10,300.0,26149.0,CQM Solver
1315102446_50_20,300.0,100869.0,CQM Solver
1923497586_50_20,300.0,99232.0,CQM Solver
495070989_20_5,50.0,1330.0,CQM Solver
49612559_50_10,300.0,26215.99999999999,CQM Solver
1303135678_50_5,300.0,12344.999999999996,CQM Solver
495070989_20_5,300.0,1291.0,CQM Solver
1273398721_50_5,50.0,12705.000000000016,CQM Solver
402959317_20_5,50.0,1292.0,CQM Solver
1273398721_50_5,300.0,12468.000000000002,CQM Solver
1899802599_50_10,300.0,25889.99999999993,CQM Solver
1369363414_20_5,50.0,1293.0,CQM Solver
1861070898_50_20,300.0,100346.0,CQM Solver
2013025619_50_10,300.0,25755.99999999993,CQM Solver
248421594_50_5,50.0,13025.000000000002,CQM Solver
1369363414_20_5,300.0,1284.0,CQM Solver
2021925980_20_5,50.0,1360.0,CQM Solver
2021925980_20_5,300.0,1298.0,CQM Solver
573109518_20_5,50.0,1345.0,CQM Solver
573109518_20_5,300.0,1298.0,CQM Solver
88325120_20_5,50.0,1213.0,CQM Solver
88325120_20_5,300.0,1202.0,CQM Solver
248421594_50_5,300.0,3226.9999999999927,CQM Solver
587595453_20_10,50.0,1805.0,CQM Solver
587595453_20_10,300.0,1751.0,CQM Solver
1401007982_20_10,50.0,1872.0,CQM Solver
1401007982_20_10,300.0,1832.0,CQM Solver
873136276_20_10,50.0,1732.0,CQM Solver
873136276_20_10,300.0,1667.0,CQM Solver
268827376_20_10,50.0,1607.0,CQM Solver
268827376_20_10,300.0,1539.0,CQM Solver
1634173168_20_10,50.0,1643.0,CQM Solver
1634173168_20_10,300.0,1638.0,CQM Solver
691823909_20_10,50.0,1598.0,CQM Solver
691823909_20_10,300.0,1595.0,CQM Solver
73807235_20_10,50.0,1658.0,CQM Solver
479340445_20_20,50.0,2559.0,CQM Solver
464843328_50_20,300.0,102846.0,CQM Solver
479340445_20_20,300.0,2558.0,CQM Solver
268827376_20_20,50.0,2423.0,CQM Solver
268827376_20_20,300.0,2368.0,CQM Solver
1958948863_20_20,50.0,2543.0,CQM Solver
1958948863_20_20,300.0,2521.0,CQM Solver
918272953_20_20,50.0,2534.000000000007,CQM Solver
918272953_20_20,300.0,2431.0,CQM Solver
555010963_20_20,50.0,2598.0,CQM Solver
555010963_20_20,300.0,2531.0,CQM Solver
2010851491_20_20,50.0,2505.0,CQM Solver
2010851491_20_20,300.0,2419.0,CQM Solver
1519833303_20_20,50.0,2543.0,CQM Solver
73807235_20_10,300.0,1644.0,CQM Solver
1519833303_20_20,300.0,2455.0000000000123,CQM Solver
1273398721_20_10,50.0,1796.0,CQM Solver
1748670931_20_20,50.0,2430.0,CQM Solver
