name,time_limit,energy,Solver
tai12a,50,224416.0,COIN-OR
tai12b,50,41010687.0,COIN-OR
tai12a,150,224416.0,COIN-OR
tai12b,150,41010687.0,COIN-OR
tai12a,300,224416.0,COIN-OR
tai12b,300,41010687.0,COIN-OR
tai12a,50,300394.0,OR-Tools
tai12b,50,63150032.0,OR-Tools
tai15a,50,492566.0,OR-Tools
tai15b,50,233617014.0,OR-Tools
tai17a,50,629294.0,OR-Tools
tai20a,50,888940.0,OR-Tools
tai25a,50,1437850.0,OR-Tools
tai30a,50,2179454.0,OR-Tools
tai35a,50,2928742.0,OR-Tools
tai12a,150,300394.0,OR-Tools
tai12b,150,63150032.0,OR-Tools
tai15a,150,492566.0,OR-Tools
tai15b,150,233617014.0,OR-Tools
tai17a,150,629294.0,OR-Tools
tai20a,150,888940.0,OR-Tools
tai25a,150,1437850.0,OR-Tools
tai30a,150,2179454.0,OR-Tools
tai35a,150,2928742.0,OR-Tools
tai12a,300,300394.0,OR-Tools
tai12b,300,63150032.0,OR-Tools
tai15a,300,492566.0,OR-Tools
tai15b,300,233617014.0,OR-Tools
tai17a,300,629294.0,OR-Tools
tai20a,300,888940.0,OR-Tools
tai25a,300,1437850.0,OR-Tools
tai30a,300,2179454.0,OR-Tools
tai35a,300,2928742.0,OR-Tools
tai15a,50,388214.0,NL Solver
tai25a,50,1171944.0,NL Solver
tai40b,50,637250948.0,NL Solver
tai80b,50,822964008.0,NL Solver
tai15b,50,51765268.0,NL Solver
tai35b,50,283341071.0,NL Solver
tai100a,50,21675838.0,NL Solver
tai30b,50,637117113.0,NL Solver
tai40a,50,3202690.0,NL Solver
tai17a,50,491812.0,NL Solver
tai12b,50,39464925.0,NL Solver
tai20a,50,707178.0,NL Solver
tai256c,50,45240320.0,NL Solver
tai60a,50,7406816.0,NL Solver
tai50b,50,458977490.0,NL Solver
tai12a,50,224416.0,NL Solver
tai30a,50,1842960.0,NL Solver
tai20b,50,122455319.0,NL Solver
tai50a,50,5059456.0,NL Solver
tai64c,50,1855928.0,NL Solver
tai100b,50,1193010268.0,NL Solver
tai150b,50,509226944.0,NL Solver
tai80a,50,13908664.0,NL Solver
tai60b,50,608400332.0,NL Solver
tai35a,50,2447476.0,NL Solver
tai25b,50,344355646.0,NL Solver
tai15a,150,388214.0,NL Solver
tai25a,150,1171944.0,NL Solver
tai40b,150,637250948.0,NL Solver
tai80b,150,819138141.0,NL Solver
tai15b,150,51765268.0,NL Solver
tai35b,150,283315445.0,NL Solver
tai100a,150,21585034.0,NL Solver
tai30b,150,637117113.0,NL Solver
tai40a,150,3180386.0,NL Solver
tai17a,150,491812.0,NL Solver
tai12b,150,39464925.0,NL Solver
tai20a,150,703482.0,NL Solver
tai256c,150,44949032.0,NL Solver
tai60a,150,7382104.0,NL Solver
tai50b,150,458834940.0,NL Solver
tai12a,150,224416.0,NL Solver
tai30a,150,1827476.0,NL Solver
tai20b,150,122455319.0,NL Solver
tai50a,150,5053720.0,NL Solver
tai64c,150,1855928.0,NL Solver
tai100b,150,1189727663.0,NL Solver
tai150b,150,506242836.0,NL Solver
tai80a,150,13873604.0,NL Solver
tai60b,150,608228537.0,NL Solver
tai35a,150,2454244.0,NL Solver
tai25b,150,344355646.0,NL Solver
tai15a,300,388214.0,NL Solver
tai25a,300,1167256.0,NL Solver
tai40b,300,637250948.0,NL Solver
tai80b,300,819465720.0,NL Solver
tai15b,300,51765268.0,NL Solver
tai35b,300,283315445.0,NL Solver
tai100a,300,21537950.0,NL Solver
tai30b,300,637117113.0,NL Solver
tai40a,300,3169998.0,NL Solver
tai17a,300,491812.0,NL Solver
tai12b,300,39464925.0,NL Solver
tai20a,300,703482.0,NL Solver
tai256c,300,44917996.0,NL Solver
tai60a,300,7350832.0,NL Solver
tai50b,300,458834940.0,NL Solver
tai12a,300,224416.0,NL Solver
tai30a,300,1825262.0,NL Solver
tai20b,300,122455319.0,NL Solver
tai50a,300,5018098.0,NL Solver
tai64c,300,1855928.0,NL Solver
tai100b,300,1189240692.0,NL Solver
tai150b,300,504172368.0,NL Solver
tai80a,300,13814414.0,NL Solver
tai60b,300,608353521.0,NL Solver
tai35a,300,2443840.0,NL Solver
tai25b,300,344355646.0,NL Solver
tai12a,50,224416.0,CQM Solver
tai12a,150,224416.0,CQM Solver
tai12a,300,224416.0,CQM Solver
tai12b,50,39464925.0,CQM Solver
tai12b,150,39464925.0,CQM Solver
tai12b,300,39464925.0,CQM Solver
tai15a,50,388214.0,CQM Solver
tai15a,150,388214.0,CQM Solver
tai15b,50,51765268.0,CQM Solver
tai15b,150,51765268.0,CQM Solver
tai15b,300,51765268.0,CQM Solver
tai17a,50,491812.0,CQM Solver
tai17a,150,491812.0,CQM Solver
tai17a,300,491812.0,CQM Solver
tai20a,50,703482.0,CQM Solver
tai20a,150,703482.0,CQM Solver
tai20a,300,703482.0,CQM Solver
tai20b,50,122455319.0,CQM Solver
tai20b,150,122455319.0,CQM Solver
tai20b,300,122455319.0,CQM Solver
tai25a,50,1169030.0,CQM Solver
tai25a,150,1167256.0,CQM Solver
tai25a,300,1167256.0,CQM Solver
tai25b,50,344604719.0,CQM Solver
tai25b,150,344355646.0,CQM Solver
tai25b,300,344855160.0,CQM Solver
tai30a,50,1827810.0,CQM Solver
tai30a,150,1825384.0,CQM Solver
tai30a,300,1818146.0,CQM Solver
tai30b,50,640102431.0,CQM Solver
tai30b,150,637800650.0,CQM Solver
tai30b,300,637402984.0,CQM Solver
tai35a,50,2440760.0,CQM Solver
tai35a,150,2431214.0,CQM Solver
tai35b,50,284553865.0,CQM Solver
tai35b,150,283684625.0,CQM Solver
tai35b,300,283953696.0,CQM Solver
tai40a,50,3173082.0,CQM Solver
tai40a,150,3165158.0,CQM Solver
tai40a,300,3162758.0,CQM Solver
tai40b,50,638789192.0,CQM Solver
tai40b,150,638436255.0,CQM Solver
tai40b,300,638211998.0,CQM Solver
tai50a,50,5020464.0,CQM Solver
tai50a,150,5001902.0,CQM Solver
tai50a,300,4999542.0,CQM Solver
tai50b,50,462181622.0,CQM Solver
tai50b,150,460719020.0,CQM Solver
tai50b,300,459700333.0,CQM Solver
tai60a,50,7402020.0,CQM Solver
tai60a,150,7327092.0,CQM Solver
tai60a,300,7320432.0,CQM Solver
tai60b,50,611585341.0,CQM Solver
tai60b,150,610438711.0,CQM Solver
tai60b,300,609521035.0,CQM Solver
tai64c,50,1855928.0,CQM Solver
tai64c,150,1855928.0,CQM Solver
tai64c,300,1855928.0,CQM Solver
tai80a,150,13842130.0,CQM Solver
tai80a,300,13754600.0,CQM Solver
tai80b,150,822968966.0,CQM Solver
tai80b,300,821440935.0,CQM Solver
tai100a,300,21582314.0,CQM Solver
tai100b,300,1196687364.0,CQM Solver
tai15a,50,388214.0,SciPy
tai25a,50,1179536.0,SciPy
tai40b,50,641111024.0,SciPy
tai80b,50,859141644.0,SciPy
tai15b,50,51765268.0,SciPy
tai35b,50,286080335.0,SciPy
tai100a,50,21722596.0,SciPy
tai30b,50,643297678.0,SciPy
tai40a,50,3229304.0,SciPy
tai17a,50,493662.0,SciPy
tai12b,50,39464925.0,SciPy
tai20a,50,707178.0,SciPy
tai60a,50,7445146.0,SciPy
tai50b,50,463370389.0,SciPy
tai12a,50,224416.0,SciPy
tai30a,50,1855856.0,SciPy
tai20b,50,122455319.0,SciPy
tai50a,50,5091014.0,SciPy
tai64c,50,1855928.0,SciPy
tai80a,50,13907564.0,SciPy
tai60b,50,611652148.0,SciPy
tai35a,50,2486408.0,SciPy
tai25b,50,344355646.0,SciPy
tai15a,150,388214.0,SciPy
tai25a,150,1180040.0,SciPy
tai40b,150,637665285.0,SciPy
tai80b,150,842920928.0,SciPy
tai15b,150,51765268.0,SciPy
tai35b,150,284060465.0,SciPy
tai100a,150,21679970.0,SciPy
tai30b,150,637380460.0,SciPy
tai40a,150,3227864.0,SciPy
tai17a,150,491812.0,SciPy
tai12b,150,39464925.0,SciPy
tai20a,150,706786.0,SciPy
tai60a,150,7424066.0,SciPy
tai50b,150,461718564.0,SciPy
tai12a,150,224416.0,SciPy
tai30a,150,1842092.0,SciPy
tai20b,150,122455319.0,SciPy
tai50a,150,5099824.0,SciPy
tai64c,150,1855928.0,SciPy
tai100b,150,1255029914.0,SciPy
tai80a,150,13931658.0,SciPy
tai60b,150,619498816.0,SciPy
tai35a,150,2467674.0,SciPy
tai25b,150,344355646.0,SciPy
tai15a,300,388214.0,SciPy
tai25a,300,1178190.0,SciPy
tai40b,300,637779878.0,SciPy
tai80b,300,835772745.0,SciPy
tai15b,300,51765268.0,SciPy
tai35b,300,284168961.0,SciPy
tai100a,300,21654028.0,SciPy
tai30b,300,639066171.0,SciPy
tai40a,300,3218852.0,SciPy
tai17a,300,491812.0,SciPy
tai12b,300,39464925.0,SciPy
tai20a,300,705622.0,SciPy
tai60a,300,7428796.0,SciPy
tai50b,300,462590920.0,SciPy
tai12a,300,224416.0,SciPy
tai30a,300,1848420.0,SciPy
tai20b,300,122455319.0,SciPy
tai50a,300,5066284.0,SciPy
tai64c,300,1855928.0,SciPy
tai100b,300,1195869512.0,SciPy
tai80a,300,13914856.0,SciPy
tai60b,300,612302628.0,SciPy
tai35a,300,2472794.0,SciPy
tai25b,300,344355646.0,SciPy
