name,Solver,time_limit,energy,num_satellites
3_0,CQM Solver,5,204.298,3
3_0,CQM Solver,30,204.729,3
3_0,CQM Solver,60,206.062,3
3_1,CQM Solver,5,156.302,3
3_1,CQM Solver,30,156.302,3
3_1,CQM Solver,60,156.302,3
3_2,CQM Solver,5,147.805,3
3_2,CQM Solver,30,147.805,3
3_2,CQM Solver,60,147.805,3
3_3,CQM Solver,5,112.227,3
3_3,CQM Solver,30,112.227,3
3_3,CQM Solver,60,112.227,3
3_4,CQM Solver,5,161.976,3
3_4,CQM Solver,30,162.596,3
3_4,CQM Solver,60,162.596,3
3_5,CQM Solver,5,302.052,3
3_5,CQM Solver,30,302.052,3
3_5,CQM Solver,60,302.052,3
3_6,CQM Solver,5,188.893,3
3_6,CQM Solver,30,188.893,3
3_6,CQM Solver,60,188.893,3
3_7,CQM Solver,5,202.831,3
3_7,CQM Solver,30,202.831,3
3_7,CQM Solver,60,202.831,3
3_8,CQM Solver,5,107.232,3
3_8,CQM Solver,30,128.974,3
3_8,CQM Solver,60,118.967,3
3_9,CQM Solver,5,168.145,3
3_9,CQM Solver,30,168.145,3
3_9,CQM Solver,60,168.145,3
3_10,CQM Solver,5,118.391,3
3_10,CQM Solver,30,118.391,3
3_10,CQM Solver,60,118.391,3
5_0,CQM Solver,5,52.947,5
5_0,CQM Solver,30,89.164,5
5_0,CQM Solver,60,105.702,5
5_1,CQM Solver,5,78.482,5
5_1,CQM Solver,30,90.036,5
5_1,CQM Solver,60,105.665,5
5_2,CQM Solver,5,72.09400000000001,5
5_2,CQM Solver,30,83.555,5
5_2,CQM Solver,60,86.739,5
5_3,CQM Solver,5,54.777,5
5_3,CQM Solver,30,53.306,5
5_3,CQM Solver,60,36.002,5
5_4,CQM Solver,5,101.728,5
5_4,CQM Solver,30,111.515,5
5_4,CQM Solver,60,128.209,5
5_5,CQM Solver,5,82.086,5
5_5,CQM Solver,30,82.107,5
5_5,CQM Solver,60,68.628,5
5_6,CQM Solver,5,143.843,5
5_6,CQM Solver,30,122.586,5
5_6,CQM Solver,60,135.287,5
5_7,CQM Solver,5,44.76,5
5_7,CQM Solver,30,54.909,5
5_7,CQM Solver,60,55.232,5
5_8,CQM Solver,5,155.321,5
5_8,CQM Solver,30,175.546,5
5_8,CQM Solver,60,192.119,5
5_9,CQM Solver,5,68.67,5
5_9,CQM Solver,30,58.387,5
5_9,CQM Solver,60,78.762,5
5_10,CQM Solver,5,78.164,5
5_10,CQM Solver,30,81.092,5
5_10,CQM Solver,60,84.162,5
7_0,CQM Solver,5,58.271,7
7_0,CQM Solver,30,67.875,7
7_0,CQM Solver,60,27.24,7
7_1,CQM Solver,5,37.026,7
7_1,CQM Solver,30,25.655,7
7_1,CQM Solver,60,37.016,7
7_2,CQM Solver,5,47.251,7
7_2,CQM Solver,30,44.941,7
7_2,CQM Solver,60,40.18,7
7_3,CQM Solver,5,0.015,7
7_3,CQM Solver,30,42.553,7
7_3,CQM Solver,60,54.822,7
7_4,CQM Solver,5,67.51,7
7_4,CQM Solver,30,81.268,7
7_4,CQM Solver,60,48.394,7
7_5,CQM Solver,5,27.462,7
7_5,CQM Solver,30,15.856,7
7_5,CQM Solver,60,48.142,7
7_6,CQM Solver,5,40.311,7
7_6,CQM Solver,30,41.332,7
7_6,CQM Solver,60,57.727,7
7_7,CQM Solver,5,20.449,7
7_7,CQM Solver,30,33.75,7
7_7,CQM Solver,60,25.548,7
7_8,CQM Solver,5,41.158,7
7_8,CQM Solver,30,13.571,7
7_8,CQM Solver,60,58.509,7
7_9,CQM Solver,5,26.799,7
7_9,CQM Solver,30,55.524,7
7_9,CQM Solver,60,44.016,7
7_10,CQM Solver,5,6.598,7
7_10,CQM Solver,30,17.737000000000002,7
7_10,CQM Solver,60,35.397,7
10_0,CQM Solver,5,6.065,10
10_0,CQM Solver,30,19.961,10
10_0,CQM Solver,60,3.796,10
10_1,CQM Solver,5,34.353,10
10_1,CQM Solver,30,27.087,10
10_1,CQM Solver,60,39.075,10
10_2,CQM Solver,5,21.872,10
10_2,CQM Solver,30,8.758000000000001,10
10_2,CQM Solver,60,30.547,10
10_3,CQM Solver,5,22.671,10
10_3,CQM Solver,30,20.319,10
